Student #,Student First Name,Student Last Name,Grade,Gender,Homeroom,Date of Birth,Parent First Name,Parent Last Name,Parent Phone Number,Parent Email,Emergency Contact First Name,Emergency Contact Last Name,Emergency Contact Phone Number,Shirt Size,Short Size,Date
1015, Sawyer,Brock,6,M,S8,2012-12-16,William,Brock,(166)-999-9676,william.brock@gmail.com,Erin,Graves,(992)-826-8728,Youth Medium,Youth Medium,09/12/2024 10:01:34 AM
1016, Logan,Reilly,7,F,S35,2015-12-21,Mike,Reilly,(666)-934-2322,mike.reilly@gmail.com,Denise,Odom,(564)-784-9244,Adult Small,Adult Small,09/12/2024 10:11:03 AM
1017, Finley,Garcia,5,M,S55,2012-12-01,Nathan,Garcia,(811)-410-7201,nathan.garcia@hotmail.com,Nicholas,Coleman,(613)-420-3883,Youth Large,Youth Large,09/12/2024 10:13:34 AM
1018, Jordan,Parker,5,F,S55,2013-05-09,James,Parker,(721)-129-2941,james.parker@gmail.com,Jessica,Silva,(591)-867-6599,Youth Medium,Youth Medium,09/17/2024 01:21:15 PM
1019, Alex,Moore,3,M,S57,2010-10-27,Randall,Moore,(928)-282-1318,randall.moore@gmail.com,Edwin,Tran,(576)-421-2325,Youth Small,Youth Small,09/17/2024 01:22:14 PM
1020, Sawyer,Shaw,5,M,S53,2013-10-18,Calvin,Shaw,(206)-542-1869,calvin.shaw@yahoo.com,Deanna,Sanchez,(489)-289-1686,Youth Large,Youth Large,09/17/2024 01:23:52 PM
1021, Rowan,Carey,3,M,S50,2013-09-11,Craig,Carey,(398)-522-5931,craig.carey@hotmail.com,Jennifer,Jackson,(810)-375-2153,Youth Small,Youth Small,09/18/2024 08:50:39 AM
1022, Emerson,Murphy,5,M,S53,2012-07-26,Stephanie,Murphy,(405)-858-3826,stephanie.murphy@gmail.com,Cynthia,Bennett,(491)-958-4424,Youth Medium,Youth Medium,09/18/2024 08:50:39 AM
1023, Peyton,Jackson,5,M,S54,2014-10-14,James,Jackson,(634)-184-4316,james.jackson@yahoo.com,Mason,Berry,(551)-171-9326,Adult Medium,Adult Small,09/18/2024 08:52:47 AM
1024, Jordan,Edwards,5,M,S53,2014-04-26,Jacob,Edwards,(805)-576-4222,jacob.edwards@gmail.com,Dana,Calderon,(832)-278-4728,Youth Large,Youth Large,09/26/2024 08:34:52 AM
1025, Taylor,Clark,6,M,S12,2015-04-19,Deanna,Clark,(183)-984-5830,deanna.clark@yahoo.com,Candace,Sanders,(946)-256-3187,Youth XLarge,Youth XL,09/26/2024 08:37:08 AM
1026, Casey,Carr,6,M,S17,2012-12-06,Meredith,Carr,(310)-659-8171,meredith.carr@hotmail.com,Joseph,Rodriguez,(356)-976-5417,Youth Large,Youth Large,09/26/2024 08:38:25 AM
1027, Tatum,Harrison,7,F,S42,2010-03-05,Joseph,Harrison,(822)-185-8868,joseph.harrison@hotmail.com,Pam,Miller,(449)-890-5077,Youth XLarge,Youth XL,09/26/2024 08:39:26 AM
1028, Jordan,Johnson,7,M,S20,2014-07-28,Andre,Johnson,(953)-817-1574,andre.johnson@gmail.com,Annette,Bright,(139)-677-1850,Adult Medium,Adult Small,09/26/2024 08:39:41 AM
1029, Peyton,Simmons,3,M,S57,2010-12-26,Brandy,Simmons,(114)-469-8537,brandy.simmons@yahoo.com,Kyle,Anderson,(789)-234-5278,Youth Medium,Youth Medium,09/26/2024 08:40:27 AM
1030, Riley,Allen,5,F,S54,2012-04-11,Brandy,Allen,(173)-731-8139,brandy.allen@gmail.com,Daniel,Anderson,(825)-215-1310,Youth Medium,Youth Medium,10/02/2024 11:13:46 AM
1031, Drew,Jones,6,F,S24,2013-06-13,Kathleen,Jones,(529)-964-8696,kathleen.jones@hotmail.com,Kristen,Hart,(351)-424-2227,Youth XLarge,Youth Large,10/02/2024 11:13:46 AM
1032, Skyler,Nguyen,4,M,S56,2011-02-15,Kyle,Nguyen,(175)-901-7542,kyle.nguyen@hotmail.com,Jason,Hamilton,(762)-203-9490,Youth Medium,Youth Medium,10/02/2024 11:13:53 AM
1033, Reese,Evans,7,M,S13,2015-05-08,Robin,Evans,(384)-909-7116,robin.evans@hotmail.com,Cory,Williams,(477)-279-1158,Adult Medium,Adult Medium,10/02/2024 11:14:00 AM
1034, Alex,Griffin,6,F,S11,2015-05-02,John,Griffin,(672)-406-5717,john.griffin@hotmail.com,Christopher,Patton,(889)-896-2088,Youth XLarge,Youth XL,10/09/2024 08:07:37 AM
1035, Peyton,Powers,4,M,S56,2014-02-02,Adam,Powers,(302)-389-2337,adam.powers@hotmail.com,Diana,Ramirez,(113)-945-5483,Youth Small,Youth Small,10/09/2024 08:07:58 AM
1036, Peyton,Lewis,7,M,S4,2014-12-30,Juan,Lewis,(352)-556-3430,juan.lewis@hotmail.com,Amber,Sims,(755)-253-1890,Adult Medium,Adult Medium,10/09/2024 08:09:15 AM
1037, Phoenix,Romero,6,M,S3,2014-08-21,John,Romero,(601)-469-8124,john.romero@gmail.com,Dawn,Brown,(858)-148-7229,Youth Large,Youth Large,10/09/2024 08:09:35 AM
1038, Drew,Jones,6,F,S2,2014-04-14,Marcus,Jones,(112)-276-1107,marcus.jones@hotmail.com,Amber,Reynolds,(132)-804-5277,Youth Medium,Youth Medium,10/09/2024 08:10:15 AM
1039, Dakota,Cervantes,3,M,S57,2014-05-17,Timothy,Cervantes,(459)-927-2384,timothy.cervantes@gmail.com,Katherine,Ortega,(548)-856-1581,Youth Small,Youth Small,10/16/2024 08:18:18 AM
1040, Drew,Brown,5,M,S54,2013-08-29,Ashley,Brown,(770)-774-9483,ashley.brown@yahoo.com,Jenna,Brown,(929)-420-6768,Youth Medium,Youth Medium,10/16/2024 08:18:18 AM
1041, Phoenix,Pham,3,M,S50,2014-05-19,Maria,Pham,(120)-607-6074,maria.pham@hotmail.com,Emily,Collins,(124)-292-3119,Youth Medium,Youth Medium,10/16/2024 08:18:26 AM
1042, Morgan,Marquez,6,F,S17,2013-09-18,Sandra,Marquez,(985)-228-9375,sandra.marquez@gmail.com,David,Diaz,(455)-719-2005,Youth Medium,Youth Small,10/16/2024 08:19:51 AM
1043, Marley,Harmon,7,M,S37,2012-10-03,Andrew,Harmon,(513)-450-5134,andrew.harmon@yahoo.com,Kevin,Duncan,(972)-658-6135,Youth XLarge,Youth XL,10/16/2024 08:21:17 AM
1044, Logan,Harris,7,F,S27,2014-05-12,Jason,Harris,(751)-199-6288,jason.harris@yahoo.com,Wendy,Stanley,(750)-103-8156,Adult XL,Adult XL,10/16/2024 08:25:58 AM
1045, Quinn,Smith,7,M,S4,2014-12-29,Mitchell,Smith,(157)-153-2079,mitchell.smith@gmail.com,Amanda,Walker,(758)-274-9889,Adult Large,Adult Medium,10/16/2024 08:26:29 AM
1046, Drew,Miller,4,F,S52,2014-05-06,Joshua,Miller,(440)-163-3000,joshua.miller@yahoo.com,Thomas,Morgan,(623)-107-7975,Youth Medium,Youth Medium,10/18/2024 01:32:02 PM
1047, Peyton,Frey,5,M,S53,2010-10-08,Cody,Frey,(283)-638-6137,cody.frey@hotmail.com,David,Bass,(301)-187-6286,Youth Medium,Youth Medium,10/18/2024 01:32:20 PM
1048, Logan,Young,6,M,S33,2013-07-16,Travis,Young,(217)-112-2922,travis.young@hotmail.com,Kevin,Rodriguez,(755)-412-8613,Youth Medium,Youth Medium,10/18/2024 01:32:47 PM
1049, Finley,Montoya,7,F,S26,2012-06-18,Michael,Montoya,(884)-506-7111,michael.montoya@gmail.com,Daniel,Holt,(971)-555-7343,Adult Small,Adult Small,10/18/2024 01:32:53 PM
1050, Morgan,Steele,8,M,S15,2011-04-18,Anthony,Steele,(909)-290-2178,anthony.steele@hotmail.com,Teresa,Bush,(194)-125-5430,Adult Medium,Adult Medium,10/18/2024 01:33:00 PM
1051, River,Hurley,5,M,S55,2011-04-03,Sandra,Hurley,(796)-475-2932,sandra.hurley@yahoo.com,Jeffrey,Douglas,(986)-189-4920,Youth Medium,Youth Medium,10/21/2024 09:31:13 AM
1052, Riley,Phillips,8,M,S28,2013-08-03,Jonathan,Phillips,(175)-232-9633,jonathan.phillips@yahoo.com,Matthew,Brown,(788)-231-2370,Youth XLarge,Youth XL,10/21/2024 11:11:50 AM
1053, Phoenix,Christensen,7,M,S44,2010-02-24,Gary,Christensen,(277)-381-8209,gary.christensen@hotmail.com,Jennifer,Andrade,(936)-561-6809,Youth Large,Youth Large,10/21/2024 11:11:50 AM
1054, Tatum,Merritt,4,M,S56,2010-02-01,Nicole,Merritt,(102)-481-2929,nicole.merritt@gmail.com,William,Simmons,(927)-362-9973,Youth Small,Youth Small,10/21/2024 11:11:50 AM
1055, Emerson,Wallace,7,F,S38,2013-03-23,Paige,Wallace,(904)-729-6730,paige.wallace@hotmail.com,Timothy,Mueller,(519)-785-6045,Adult Large,Adult Large,10/22/2024 11:24:56 AM
1056, Drew,Smith,3,F,S59,2013-08-14,Lauren,Smith,(496)-734-4889,lauren.smith@gmail.com,Andrew,Brown,(545)-989-3446,Youth Medium,Youth Medium,10/22/2024 11:29:02 AM
1057, Cameron,Bennett,5,M,S55,2011-09-17,Aaron,Bennett,(866)-490-3530,aaron.bennett@hotmail.com,Christian,Jackson,(654)-997-1843,Youth XLarge,Youth XL,10/22/2024 11:29:02 AM
1058, Emerson,Watson,2,,S58,2012-06-13,Mackenzie,Watson,(677)-115-9202,mackenzie.watson@yahoo.com,Kimberly,Thompson,(799)-620-4122,Youth Medium,Youth Medium,10/22/2024 11:29:26 AM
1059, Drew,Baker,8,M,S40,2015-08-13,Geoffrey,Baker,(339)-445-3370,geoffrey.baker@hotmail.com,Steven,Hernandez,(633)-354-8089,Adult Medium,Adult Medium,10/22/2024 11:29:47 AM
1060, River,Miller,5,M,S53,2013-12-01,Allen,Miller,(261)-597-9852,allen.miller@yahoo.com,Robert,Rice,(653)-714-5371,Youth Medium,Youth Medium,10/22/2024 11:29:47 AM
1061, Reese,Bradley,5,M,S53,2015-11-09,Karen,Bradley,(990)-831-3078,karen.bradley@yahoo.com,Matthew,Fleming,(447)-253-5522,Adult Medium,Adult Small,10/22/2024 11:30:11 AM
1062, Morgan,Willis,8,M,S36,2013-12-01,Zachary,Willis,(784)-864-2012,zachary.willis@gmail.com,Alan,Smith,(706)-260-7068,Adult XL,Adult Large,10/22/2024 11:33:31 AM
1063, Cameron,Fernandez,4,M,S56,2013-11-15,Michael,Fernandez,(848)-489-6902,michael.fernandez@yahoo.com,Dwayne,Schmidt,(623)-534-9662,Youth XLarge,Youth XL,10/23/2024 10:34:45 AM
1064, Quinn,Hebert,3,M,S50,2015-08-01,Robin,Hebert,(887)-562-2476,robin.hebert@yahoo.com,Richard,Hall,(698)-725-5498,Youth Medium,Youth Medium,10/23/2024 10:35:00 AM
1065, Drew,Cunningham,6,F,S24,2010-01-04,Tyler,Cunningham,(673)-499-3693,tyler.cunningham@yahoo.com,Jonathan,Hartman,(685)-671-8429,Adult Small,Adult Small,10/23/2024 10:35:12 AM
1066, Lennon,Medina,3,F,S57,2015-02-08,Laura,Medina,(892)-459-9266,laura.medina@gmail.com,Brandon,Lin,(623)-686-5870,Youth Large,Youth Large,10/23/2024 11:34:42 AM
1067, Sawyer,Castillo,8,M,S29,2011-07-19,Joshua,Castillo,(768)-437-2356,joshua.castillo@gmail.com,Kimberly,Mitchell,(744)-506-9105,Youth XLarge,Youth XL,10/24/2024 08:10:52 AM
1068, Emerson,Mcintosh,6,M,S1,2011-09-16,Mark,Mcintosh,(367)-262-5068,mark.mcintosh@hotmail.com,Cynthia,Garcia,(570)-259-3874,Adult Small,Adult Small,10/24/2024 08:11:02 AM
1069, Riley,Harper,7,M,S42,2014-04-15,Marcus,Harper,(728)-802-7616,marcus.harper@gmail.com,Matthew,Richardson,(783)-172-9323,Youth Large,Youth Large,10/24/2024 08:11:13 AM
1070, Reese,Hamilton,7,F,S9,2010-03-06,Laura,Hamilton,(969)-558-1301,laura.hamilton@hotmail.com,Matthew,Gray,(335)-796-9874,Adult Medium,Adult Large,10/24/2024 08:11:20 AM
1071, Marley,Lynn,7,M,S5,2015-06-12,Brandy,Lynn,(554)-764-9704,brandy.lynn@yahoo.com,Peter,Anderson,(206)-547-6104,Youth XLarge,Youth XL,10/24/2024 08:11:27 AM
1072, Reese,Stokes,7,F,S5,2015-12-06,Victoria,Stokes,(311)-592-4232,victoria.stokes@gmail.com,Michelle,Contreras,(763)-119-3582,Adult Large,Adult Large,10/24/2024 01:13:51 PM
1073, Quinn,Joseph,4,F,S52,2012-08-16,Kathryn,Joseph,(493)-601-3119,kathryn.joseph@hotmail.com,Jacob,Bautista,(985)-159-2076,Adult Small,Adult Small,10/24/2024 01:13:51 PM
1074, Sawyer,Turner,3,M,S57,2015-01-13,Jennifer,Turner,(623)-409-4614,jennifer.turner@yahoo.com,Brenda,Wilson,(869)-181-4949,Youth Medium,Youth Medium,10/24/2024 01:14:06 PM
1075, Taylor,Lee,7,M,S21,2012-06-09,Victoria,Lee,(321)-905-4455,victoria.lee@yahoo.com,Mario,Trujillo,(729)-429-8411,Adult Large,Adult Large,10/24/2024 01:14:11 PM
1076, Riley,Jones,3,F,S59,2010-08-12,Samantha,Jones,(763)-516-6673,samantha.jones@hotmail.com,Michael,Jones,(144)-957-8144,Youth Small,Youth Small,10/25/2024 11:20:45 AM
1077, Riley,Dalton,8,F,S22,2011-08-16,Judith,Dalton,(202)-397-4510,judith.dalton@hotmail.com,Lisa,Mcdaniel,(247)-933-9810,Youth Large,Youth Large,10/25/2024 11:20:51 AM
1078, Lennon,Miller,7,M,S21,2014-05-20,George,Miller,(980)-162-3588,george.miller@hotmail.com,Christine,Frey,(615)-360-4667,Youth XLarge,Youth XL,10/25/2024 11:21:04 AM
1079, Jordan,Martin,3,M,S57,2011-08-19,Maurice,Martin,(139)-766-2674,maurice.martin@hotmail.com,Charles,Evans,(221)-479-5826,Youth Medium,Youth Medium,10/25/2024 11:21:04 AM
1080, Quinn,Gonzales,7,M,S37,2011-05-30,Roger,Gonzales,(910)-732-9726,roger.gonzales@hotmail.com,Shannon,Mitchell,(815)-357-5406,Youth XLarge,Youth Large,10/25/2024 11:21:12 AM
1081, Sawyer,Alvarado,7,F,S9,2011-01-19,Ann,Alvarado,(475)-900-9155,ann.alvarado@gmail.com,Erica,Yates,(200)-579-6528,Adult Small,Adult Small,10/25/2024 11:21:20 AM
1082, Phoenix,Campbell,5,M,S54,2013-05-10,Stephen,Campbell,(388)-740-5466,stephen.campbell@gmail.com,Amanda,Carter,(152)-669-5716,Youth Large,Youth Large,10/25/2024 02:46:41 PM
1083, Jordan,Andrade,6,M,S30,2013-11-19,Timothy,Andrade,(573)-832-1245,timothy.andrade@hotmail.com,Brandon,Ramirez,(968)-218-5303,Adult Large,Adult Medium,10/28/2024 02:27:14 PM
1084, Casey,Love,4,M,S51,2015-06-27,Dale,Love,(707)-886-8082,dale.love@yahoo.com,Emily,Allen,(514)-937-4948,Youth Large,Youth Large,10/28/2024 02:27:14 PM
1085, Sawyer,Riddle,5,M,S54,2012-04-02,Jennifer,Riddle,(511)-469-9802,jennifer.riddle@hotmail.com,Barbara,Vasquez,(314)-478-7738,Youth Medium,Youth Medium,10/28/2024 02:27:26 PM
1086, Alex,Lewis,7,M,S6,2011-01-06,Andrea,Lewis,(883)-603-4982,andrea.lewis@gmail.com,Michelle,Palmer,(651)-308-7669,Adult Small,Adult Small,10/28/2024 02:27:41 PM
1087, Rowan,Lara,6,F,S3,2012-03-22,Joseph,Lara,(239)-989-9572,joseph.lara@hotmail.com,Stephen,Haley,(250)-555-6456,Youth Large,Youth Large,10/28/2024 02:27:41 PM
1088, Taylor,Brown,7,F,S42,2012-08-08,Peggy,Brown,(326)-791-5077,peggy.brown@hotmail.com,Paul,Mcmahon,(994)-373-3615,Adult Medium,Adult Medium,10/28/2024 02:28:01 PM
1089, Taylor,Bell,7,F,S4,2015-07-23,Shannon,Bell,(947)-957-2678,shannon.bell@yahoo.com,Brian,Cox,(694)-752-7343,Youth Large,Adult Small,10/28/2024 02:28:13 PM
1090, Tatum,Johnson,8,F,S10,2010-10-25,Frank,Johnson,(482)-884-2464,frank.johnson@yahoo.com,Jennifer,Brown,(938)-329-4129,Adult Small,Adult Medium,10/28/2024 02:28:13 PM
1091, Marley,Morales,3,M,S59,2012-04-22,Autumn,Morales,(886)-454-6092,autumn.morales@gmail.com,Anita,Martinez,(635)-369-8783,Youth Medium,Youth Medium,10/28/2024 02:28:22 PM
1092, Rowan,Perry,8,F,S23,2013-01-20,Kelly,Perry,(856)-286-6350,kelly.perry@hotmail.com,Tonya,Richard,(989)-378-6424,Adult Medium,Adult Medium,10/28/2024 02:28:22 PM
1093, Phoenix,Martinez,7,M,S35,2010-10-28,Brianna,Martinez,(976)-441-7544,brianna.martinez@yahoo.com,Bob,Ellison,(480)-980-6894,Youth Large,Youth Large,10/28/2024 02:28:22 PM
1094, River,Chan,6,M,S1,2015-08-07,Joseph,Chan,(881)-925-7321,joseph.chan@yahoo.com,Ashley,Edwards,(482)-863-3673,Youth Large,Youth Large,10/28/2024 02:28:30 PM
1095, Cameron,Wallace,8,M,S39,2013-12-28,Cynthia,Wallace,(773)-886-2839,cynthia.wallace@hotmail.com,Travis,Hamilton,(363)-226-1408,Adult Large,Adult Medium,10/28/2024 02:28:38 PM
1096, Tatum,Decker,5,F,S54,2014-05-12,Jason,Decker,(188)-390-3662,jason.decker@yahoo.com,Kelly,Graves,(994)-456-7779,Youth XLarge,Youth XL,10/28/2024 02:28:53 PM
1097, Tatum,Price,5,M,S53,2011-10-31,Jo,Price,(803)-848-2087,jo.price@hotmail.com,Crystal,Perez,(853)-980-6180,Youth Large,Youth Large,10/28/2024 02:29:08 PM
1098, Taylor,Day,7,M,S14,2014-01-13,Aaron,Day,(326)-321-1958,aaron.day@hotmail.com,John,Mckenzie,(325)-391-9713,Youth XLarge,Youth XL,10/28/2024 02:29:40 PM
1099, Casey,Clark,6,F,S12,2015-04-17,Mark,Clark,(640)-255-2302,mark.clark@hotmail.com,Tracy,Bonilla,(357)-731-4924,Adult Small,Adult Medium,10/28/2024 02:38:59 PM
1100, Riley,Dalton,6,F,S7,2013-07-21,Robin,Dalton,(320)-188-3318,robin.dalton@gmail.com,Dennis,Ortiz,(425)-279-9732,Adult XL,Adult XL,10/28/2024 02:39:11 PM
1101, Marley,Sanchez,7,M,S31,2014-06-17,Jennifer,Sanchez,(528)-176-2733,jennifer.sanchez@hotmail.com,Michele,Hubbard,(710)-108-7072,Adult Large,Adult Large,10/28/2024 02:39:11 PM
1102, Casey,Martinez,5,M,S55,2012-12-02,Melissa,Martinez,(969)-834-3530,melissa.martinez@yahoo.com,Jennifer,Page,(182)-891-9257,Youth XLarge,Youth XL,10/28/2024 02:39:23 PM
1103, Avery,Wilson,3,M,S50,2012-07-05,Ralph,Wilson,(938)-812-6832,ralph.wilson@gmail.com,Danny,West,(378)-442-7074,Youth Medium,Youth Medium,10/28/2024 02:39:23 PM
1104, Cameron,Ortega,7,M,S19,2011-09-21,Patrick,Ortega,(392)-877-6717,patrick.ortega@gmail.com,William,Armstrong,(135)-833-4523,Adult XL,Adult XL,10/28/2024 03:16:16 PM
1105, Cameron,White,6,M,S25,2012-03-14,April,White,(782)-181-3534,april.white@gmail.com,Jeremy,Wood,(702)-952-1266,Youth Medium,Youth Medium,10/29/2024 09:00:32 AM
1106, Finley,Gonzales,8,M,S16,2012-07-04,Adam,Gonzales,(275)-866-9467,adam.gonzales@yahoo.com,Steven,Butler,(682)-988-1403,Adult Large,Adult Large,10/29/2024 09:00:40 AM
1107, Morgan,Sexton,6,F,S24,2014-01-30,Michael,Sexton,(514)-925-2831,michael.sexton@gmail.com,David,Martinez,(708)-337-4296,Youth Large,Youth Medium,10/29/2024 09:00:47 AM
1108, Drew,Escobar,6,M,S18,2014-01-29,Crystal,Escobar,(597)-273-3121,crystal.escobar@hotmail.com,Nicholas,Mullins,(574)-594-2478,Youth Large,Youth Large,10/29/2024 09:01:02 AM
1109, Logan,Burns,4,F,S52,2012-03-10,Monica,Burns,(944)-288-4681,monica.burns@yahoo.com,Roger,Dudley,(485)-731-6059,Youth XLarge,Youth Large,10/30/2024 09:13:41 AM
1110, Sawyer,Henry,6,M,S41,2012-12-28,Susan,Henry,(115)-343-4557,susan.henry@hotmail.com,David,Bauer,(519)-579-1260,Youth Medium,Youth Medium,10/30/2024 09:13:54 AM
1111, Skyler,Dudley,5,F,S54,2014-02-23,David,Dudley,(312)-406-6234,david.dudley@gmail.com,Natalie,Robinson,(541)-163-3537,Adult Small,Adult Small,10/30/2024 09:14:07 AM
1112, Marley,Glenn,7,F,S9,2015-01-14,Ellen,Glenn,(495)-992-3228,ellen.glenn@gmail.com,Jonathan,Townsend,(670)-359-3466,Adult Small,Adult Small,10/30/2024 01:45:27 PM
1113, Lennon,Rivera,3,M,S59,2015-03-09,Danny,Rivera,(313)-145-5814,danny.rivera@hotmail.com,Brandon,Rivera,(468)-232-9128,Youth Medium,Youth Medium,10/31/2024 08:41:55 AM
1114, Finley,Martinez,7,F,S6,2011-01-08,Nicole,Martinez,(108)-374-8789,nicole.martinez@hotmail.com,Karen,Johnson,(285)-334-4085,Adult Medium,Adult Medium,10/31/2024 08:42:14 AM
1115, Finley,Craig,8,M,S32,2012-08-21,Amanda,Craig,(963)-804-5286,amanda.craig@gmail.com,Sarah,Taylor,(214)-383-4320,Adult Small,Adult Small,11/01/2024 10:20:35 AM
1116, Taylor,Greene,4,F,S52,2010-12-13,Carrie,Greene,(217)-998-3915,carrie.greene@gmail.com,Stacy,Rivas,(508)-584-3486,Youth Small,Youth Small,11/01/2024 10:20:35 AM
1117, Marley,Carrillo,3,M,S50,2012-10-06,Jesse,Carrillo,(456)-970-4631,jesse.carrillo@yahoo.com,Cameron,Olson,(257)-428-6895,Youth Large,Youth Large,11/04/2024 02:51:29 PM
1118, Rowan,Daniels,4,F,S56,2014-11-05,Cheryl,Daniels,(337)-338-3528,cheryl.daniels@hotmail.com,Joseph,Smith,(738)-464-6327,Youth Large,Youth Large,11/04/2024 03:30:32 PM
1119, Cameron,Baker,5,M,S55,2010-10-10,Chris,Baker,(222)-647-7232,chris.baker@yahoo.com,Stephanie,Stevenson,(901)-931-6086,Youth Large,Youth Large,11/04/2024 03:47:13 PM
1120, Lennon,Kim,5,F,S53,2015-12-03,Dawn,Kim,(768)-665-8162,dawn.kim@gmail.com,Ruben,Nelson,(319)-554-9571,Adult Small,Adult Small,11/05/2024 08:49:06 AM
1121, Emerson,Williams,3,F,S57,2012-02-21,Shelly,Williams,(528)-791-8004,shelly.williams@yahoo.com,Michelle,Delacruz,(890)-476-1788,Youth Medium,Youth Medium,11/05/2024 08:49:06 AM
1122, Peyton,Jones,7,F,S26,2013-12-21,Courtney,Jones,(948)-207-9170,courtney.jones@hotmail.com,Kenneth,Perez,(526)-183-7856,Adult Small,Adult Small,11/05/2024 08:59:42 AM
1123, Lennon,Ramirez,4,F,S52,2014-02-03,Vickie,Ramirez,(879)-288-6723,vickie.ramirez@yahoo.com,Steven,Drake,(263)-203-7855,Youth Large,Youth Large,11/07/2024 09:00:06 AM
