Date,Product,Student Name,Other,Other 1,Other 2,Other 3,Other 4,Other 5,Other 6,Other 7,Other 8,Other 9,Other 10
02/27/2025 12:53:14 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Evans, Devon",Date of Birth:2013-09-11,Grade Level:3,Parent/Guardian Name:Margaret Martinez,Parent Phone Number: (674) 673-1492,Parent Email: margaret.martinez@example.com,Emergency Contact (If parent can't be reached):Thomas Martin,Emergency Contact Phone Number: (193) 969-2435,Shirt Size:Youth Medium,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/27/2025 12:53:14 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Fisher, Jamie",Date of Birth:2012-07-26,Grade Level:2,Parent/Guardian Name:Jennifer White,Parent Phone Number: (366) 867-4016,Parent Email: jennifer.white@test.net,Emergency Contact (If parent can't be reached):Paul Williams,Emergency Contact Phone Number: (785) 209-2393,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/27/2025 12:53:38 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Foster, Drew",Date of Birth:2014-10-14,Grade Level:4,Parent/Guardian Name:John Hernandez,Parent Phone Number: (771) 855-2359,Parent Email: john.hernandez@demo.org,Emergency Contact (If parent can't be reached):John Martinez,Emergency Contact Phone Number: (146) 781-1088,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/27/2025 12:53:50 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Garcia, Logan",Date of Birth:2014-04-26,Grade Level:5,Parent/Guardian Name:Patricia Johnson,Parent Phone Number: (129) 879-8982,Parent Email: patricia.johnson@example.com,Emergency Contact (If parent can't be reached):Donald Hernandez,Emergency Contact Phone Number: (843) 659-7552,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/27/2025 12:54:03 PM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Gray, Reese",Date of Birth:2015-04-19,Grade Level:3,Parent/Guardian Name:George Wilson,Parent Phone Number: (878) 806-5431,Parent Email: george.wilson@test.net,Emergency Contact (If parent can't be reached):Betty Lee,Emergency Contact Phone Number: (486) 880-2514,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:No
02/28/2025 10:02:38 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Green, Rowan",Date of Birth:2012-12-06,Grade Level:6,Parent/Guardian Name:Jessica Davis,Parent Phone Number: (321) 680-3064,Parent Email: jessica.davis@example.com,Emergency Contact (If parent can't be reached):Charles Ramirez,Emergency Contact Phone Number: (175) 453-2736,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:02:48 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Hall, Peyton",Date of Birth:2010-03-05,Grade Level:3,Parent/Guardian Name:Elizabeth Taylor,Parent Phone Number: (860) 555-5800,Parent Email: elizabeth.taylor@mail.com,Emergency Contact (If parent can't be reached):Michael Moore,Emergency Contact Phone Number: (460) 625-9032,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:02:48 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Harris, Dakota",Date of Birth:2014-07-28,Grade Level:1,Parent/Guardian Name:Nancy Garcia,Parent Phone Number: (562) 409-7483,Parent Email: nancy.garcia@mail.com,Emergency Contact (If parent can't be reached):Mary Sanchez,Emergency Contact Phone Number: (307) 152-3666,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:01 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Hayes, Finley",Date of Birth:2010-12-26,Grade Level:1,Parent/Guardian Name:Betty Moore,Parent Phone Number: (822) 591-8921,Parent Email: betty.moore@mail.com,Emergency Contact (If parent can't be reached):Jessica Lewis,Emergency Contact Phone Number: (229) 778-4334,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:12 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Hill, Marley",Date of Birth:2012-04-11,Grade Level:2,Parent/Guardian Name:Linda Miller,Parent Phone Number: (488) 116-5131,Parent Email: linda.miller@mail.com,Emergency Contact (If parent can't be reached):Lisa Miller,Emergency Contact Phone Number: (978) 749-8693,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:18 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Hughes, Emerson",Date of Birth:2013-06-13,Grade Level:4,Parent/Guardian Name:Richard Johnson,Parent Phone Number: (304) 956-5892,Parent Email: richard.johnson@demo.org,Emergency Contact (If parent can't be reached):Christopher Lopez,Emergency Contact Phone Number: (907) 417-9392,Shirt Size:Adult Small,Short Size:Adult Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:No
02/28/2025 10:03:26 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"James, Riley",Date of Birth:2011-02-15,Grade Level:3,Parent/Guardian Name:Paul White,Parent Phone Number: (456) 379-5748,Parent Email: paul.white@test.net,Emergency Contact (If parent can't be reached):Patricia Sanchez,Emergency Contact Phone Number: (377) 102-6199,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:26 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Jenkins, Lennon",Date of Birth:2015-05-08,Grade Level:5,Parent/Guardian Name:Sandra Brown,Parent Phone Number: (803) 270-4829,Parent Email: sandra.brown@test.net,Emergency Contact (If parent can't be reached):Mary Miller,Emergency Contact Phone Number: (870) 365-7220,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:36 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Kelly, River",Date of Birth:2015-05-02,Grade Level:1,Parent/Guardian Name:Barbara Lee,Parent Phone Number: (758) 524-8532,Parent Email: barbara.lee@test.net,Emergency Contact (If parent can't be reached):Richard Lewis,Emergency Contact Phone Number: (842) 622-9567,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:42 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"King, Sawyer",Date of Birth:2014-02-02,Grade Level:5,Parent/Guardian Name:Mark Miller,Parent Phone Number: (995) 972-9249,Parent Email: mark.miller@mail.com,Emergency Contact (If parent can't be reached):George Anderson,Emergency Contact Phone Number: (523) 800-5368,Shirt Size:Youth Large,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:03:42 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Lee, Dakota",Date of Birth:2014-12-30,Grade Level:8,Parent/Guardian Name:Mark Robinson,Parent Phone Number: (654) 560-1748,Parent Email: mark.robinson@mail.com,Emergency Contact (If parent can't be reached):Robert Lee,Emergency Contact Phone Number: (780) 138-7734,Shirt Size:Youth XLarge,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
02/28/2025 10:36:33 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Lewis, Phoenix",Date of Birth:2014-08-21,Grade Level:1,Parent/Guardian Name:Donald Wilson,Parent Phone Number: (334) 466-2746,Parent Email: donald.wilson@mail.com,Emergency Contact (If parent can't be reached):Paul Johnson,Emergency Contact Phone Number: (658) 586-7297,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:12:32 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Long, Jules",Date of Birth:2014-04-14,Grade Level:3,Parent/Guardian Name:Mary White,Parent Phone Number: (357) 769-4931,Parent Email: mary.white@test.net,Emergency Contact (If parent can't be reached):Elizabeth Gonzalez,Emergency Contact Phone Number: (628) 580-3943,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:No
03/03/2025 09:12:51 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Martin, Blake",Date of Birth:2014-05-17,Grade Level:3,Parent/Guardian Name:Sandra Harris,Parent Phone Number: (285) 881-7565,Parent Email: sandra.harris@example.com,Emergency Contact (If parent can't be reached):Margaret Thomas,Emergency Contact Phone Number: (358) 547-9776,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:No
03/03/2025 09:14:15 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Mitchell, Charlie",Date of Birth:2013-08-29,Grade Level:3,Parent/Guardian Name:Mary Clark,Parent Phone Number: (366) 725-1397,Parent Email: mary.clark@mail.com,Emergency Contact (If parent can't be reached):Sandra White,Emergency Contact Phone Number: (900) 869-1065,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:14:41 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Morris, Justice",Date of Birth:2014-05-19,Grade Level:6,Parent/Guardian Name:Linda Rodriguez,Parent Phone Number: (186) 829-3033,Parent Email: linda.rodriguez@mail.com,Emergency Contact (If parent can't be reached):Dorothy Hernandez,Emergency Contact Phone Number: (754) 966-8288,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:14:55 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Parker, Jude",Date of Birth:2013-09-18,Grade Level:1,Parent/Guardian Name:Lisa Thomas,Parent Phone Number: (114) 598-9367,Parent Email: lisa.thomas@test.net,Emergency Contact (If parent can't be reached):Sarah White,Emergency Contact Phone Number: (825) 183-7992,Shirt Size:Youth Small,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:15:07 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Reed, Micah",Date of Birth:2012-10-03,Grade Level:7,Parent/Guardian Name:Richard Martinez,Parent Phone Number: (615) 802-8149,Parent Email: richard.martinez@mail.com,Emergency Contact (If parent can't be reached):John Lee,Emergency Contact Phone Number: (288) 552-3536,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:15:24 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Rivera, Tatum",Date of Birth:2014-05-12,Grade Level:4,Parent/Guardian Name:Robert Martin,Parent Phone Number: (371) 131-6652,Parent Email: robert.martin@mail.com,Emergency Contact (If parent can't be reached):Donald Lopez,Emergency Contact Phone Number: (860) 594-5278,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:15:24 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Ross, Oakley",Date of Birth:2014-12-29,Grade Level:4,Parent/Guardian Name:Sarah Thomas,Parent Phone Number: (600) 691-6236,Parent Email: sarah.thomas@demo.org,Emergency Contact (If parent can't be reached):Barbara Brown,Emergency Contact Phone Number: (789) 396-3170,Shirt Size:Youth Medium,Short Size:Youth Medium,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:18:15 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Scott, Ellis",Date of Birth:2014-05-06,Grade Level:6,Parent/Guardian Name:Betty Ramirez,Parent Phone Number: (535) 620-1082,Parent Email: betty.ramirez@demo.org,Emergency Contact (If parent can't be reached):Barbara Gonzalez,Emergency Contact Phone Number: (907) 642-2394,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:18:33 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Turner, Indigo",Date of Birth:2010-10-08,Grade Level:2,Parent/Guardian Name:Donald Perez,Parent Phone Number: (624) 815-1373,Parent Email: donald.perez@example.com,Emergency Contact (If parent can't be reached):Barbara Lopez,Emergency Contact Phone Number: (782) 379-7293,Shirt Size:Youth Large,Short Size:Youth Large,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
03/03/2025 09:21:20 AM,CYO Track and Field - Boys and Girls Grades 1st to 8th,"Ward, Lennon",Date of Birth:2013-07-16,Grade Level:4,Parent/Guardian Name:Daniel Taylor,Parent Phone Number: (139) 891-9758,Parent Email: daniel.taylor@test.net,Emergency Contact (If parent can't be reached):Robert Brown,Emergency Contact Phone Number: (108) 263-4603,Shirt Size:Youth Small,Short Size:Youth Small,I have read the Athletic Agreement:Yes,I have read the Uniform and Equipment Agreement:Yes
